ABE;;;AIC;;Software AG Installer Always Installed Components
ABE;;;TPP;;webMethods Shared Third Party Jars
ABE;;;WSC;;webMethods Shared Components
AIC;;;WIR;;Software AG Installer
APX;;;AIC;;Software AG Installer Always Installed Components
APX;;;SDF;;Software AG Designer
APX;;;WSS;;Web Services Stack
ATC;;;AIC;;Software AG Installer Always Installed Components
CAA;;;AIC;;Software AG Installer Always Installed Components
CAS;;;AIC;;Software AG Installer Always Installed Components
CCE;;;WIS;;webMethods Installer Shared Tools
CCE;;;TPP;;webMethods Shared Third Party Jars
CCE;;;WSC;;webMethods Shared Components
CCE;;;ABE;;webMethods Asset Build Environment
CCE;;;AIC;;Software AG Installer Always Installed Components
CCE;;;CLI;;Command Line Tools
CCE;;;DOC;;Third-party Product Documentation
CCE;;;LAR;;Common Landscape Asset Registry
CCE;;;OGI;;OSGi Platform
CCE;;;SIN;;Security Infrastructure
CCE;;;SPM;;webMethods Platform Manager
CCE;;;TPS;;webMethods Shared Third Party Bundles
CCE;;;WDY;;webMethods Deployer
CCE;;;WIR;;Software AG Installer
CDA;;;AIC;;Software AG Installer Always Installed Components
CEL;;;AIC;;Software AG Installer Always Installed Components
CEL;;;SPM;;webMethods Platform Manager
CEP;;;AIC;;Software AG Installer Always Installed Components
CEP;;;WIS;;webMethods Installer Shared Tools
CLA;;;AIC;;Software AG Installer Always Installed Components
CLA;;;WDY;;webMethods Deployer
CLI;;;ABE;;webMethods Asset Build Environment
CLI;;;AIC;;Software AG Installer Always Installed Components
CLI;;;TPP;;webMethods Shared Third Party Jars
CLI;;;TPS;;webMethods Shared Third Party Bundles
CMA;;;AIC;;Software AG Installer Always Installed Components
CMP;;;AIC;;Software AG Installer Always Installed Components
CMP;;;TPS;;webMethods Shared Third Party Bundles
CMP;;;WSC;;webMethods Shared Components
CNA;;;AIC;;Software AG Installer Always Installed Components
CPP;;;AIC;;Software AG Installer Always Installed Components
CPP;;;SPM;;webMethods Platform Manager
CPP;;;TPS;;webMethods Shared Third Party Bundles
CPP;;;WIS;;webMethods Installer Shared Tools
CPP;;;WSC;;webMethods Shared Components
CSA;;;AIC;;Software AG Installer Always Installed Components
CTP;;;AIC;;Software AG Installer Always Installed Components
CTP;;;OGI;;OSGi Platform
CTP;;;TPS;;webMethods Shared Third Party Bundles
CTP;;;WSS;;Web Services Stack
CUP;;;WSC;;webMethods Shared Components
CUP;;;AIC;;Software AG Installer Always Installed Components
CUP;;;CTP;;Software AG Runtime
CWR;;;AIC;;Software AG Installer Always Installed Components
DBO;;;AIC;;Software AG Installer Always Installed Components
DBU;;;AIC;;Software AG Installer Always Installed Components
DBU;;;SBP;;webMethods Business Console
DDJ;;;AIC;;Software AG Installer Always Installed Components
DDJ;;;SDF;;Software AG Designer
DDJ;;;TPS;;webMethods Shared Third Party Bundles
DDJ;;;WSC;;webMethods Shared Components
DEV;;;NUM;;Software AG Universal Messaging
DEV;;;AIC;;Software AG Installer Always Installed Components
DEV;;;EVS;;Digital Event Persistence
DEV;;;MIG;;webMethods Migration Framework
DEV;;;OGI;;OSGi Platform
DEV;;;SDF;;Software AG Designer
DEV;;;SPM;;webMethods Platform Manager
DEV;;;TPP;;webMethods Shared Third Party Jars
DEV;;;TPS;;webMethods Shared Third Party Bundles
DEV;;;WDY;;webMethods Deployer
DEV;;;WIS;;webMethods Installer Shared Tools
DEV;;;WSC;;webMethods Shared Components
DEV;;;WSS;;Web Services Stack
EDA;;;NUM;;Software AG Universal Messaging
EDA;;;AIC;;Software AG Installer Always Installed Components
EDA;;;DOC;;Third-party Product Documentation
EDA;;;EVS;;Digital Event Persistence
EDA;;;MIG;;webMethods Migration Framework
EDA;;;OGI;;OSGi Platform
EDA;;;SDF;;Software AG Designer
EDA;;;SPM;;webMethods Platform Manager
EDA;;;TPP;;webMethods Shared Third Party Jars
EDA;;;TPS;;webMethods Shared Third Party Bundles
EDA;;;WDY;;webMethods Deployer
EDA;;;WSC;;webMethods Shared Components
EDA;;;WSS;;Web Services Stack
